parent_id	parent_reactome_id	parent_name	parent_type	child_id	child_reactome_id	child_name	child_type	polarity	type
5672954	5672954	p-S311,S406 KSR1:MARK3 binds YWHAB dimer	Reaction	5672954_5672696_5672957	5672696	p-S311,S406 KSR1:MARK3:YWHAB dimer [cytosol]	Complex	POS	AND
5672954_5672696_5672957	5672696	p-S311,S406 KSR1:MARK3:YWHAB dimer [cytosol]	Complex	5672957	5672957	PP2A dephosphorylates KSR1	Reaction	POS	AND
5672978	5672978	RAF phosphorylates MAP2K dimer	Reaction	5672978_5672723_9657606	5672723	activated RAF:scaffold:p-2S MAP2K:MAPK complex [plasma membrane]	Complex	POS	AND
5672978_5672723_9657606	5672723	activated RAF:scaffold:p-2S MAP2K:MAPK complex [plasma membrane]	Complex	9657606	9657606	Single mechanism MAP2K inhibitors bind phosphorylated MAP2Ks	Reaction	POS	AND
5672978	5672978	RAF phosphorylates MAP2K dimer	Reaction	5672978_5672723_9657603	5672723	activated RAF:scaffold:p-2S MAP2K:MAPK complex [plasma membrane]	Complex	POS	AND
5672978_5672723_9657603	5672723	activated RAF:scaffold:p-2S MAP2K:MAPK complex [plasma membrane]	Complex	9657603	9657603	Dual mechanism MAPK inhibitors bind MAPKs	Reaction	POS	AND
5672978	5672978	RAF phosphorylates MAP2K dimer	Reaction	5672978_5672723_5672973	5672723	activated RAF:scaffold:p-2S MAP2K:MAPK complex [plasma membrane]	Complex	POS	AND
5672978_5672723_5672973	5672723	activated RAF:scaffold:p-2S MAP2K:MAPK complex [plasma membrane]	Complex	5672973	5672973	MAP2Ks phosphorylate MAPKs	Reaction	POS	AND
5674366	5674366	IL17RD binds p-2S MAP2Ks and MAPKs	Reaction	5674366_5674360_5674373	5674360	IL17RD:p-2S MAP2Ks:MAPKs [Golgi membrane]	Complex	POS	AND
5674366_5674360_5674373	5674360	IL17RD:p-2S MAP2Ks:MAPKs [Golgi membrane]	Complex	5674373	5674373	MAP2Ks phosphorylate MAPK at the Golgi membrane	Reaction	POS	AND
5674018	5674018	BRAP binds RAS:GTP	Reaction	5674018_5674003_5674022	5674003	p21 RAS:GTP:BRAP [plasma membrane]	Complex	POS	AND
5674018_5674003_5674022	5674003	p21 RAS:GTP:BRAP [plasma membrane]	Complex	5674022	5674022	BRAP autoubiquitinates	Reaction	POS	AND
9635743	9635743	PTPN7 binds p-T,Y-MAPK	Reaction	9635743_9635740_9635739	9635740	PTPN7:p-T,Y-MAPK dimers [cytosol]	Complex	POS	AND
9635743_9635740_9635739	9635740	PTPN7:p-T,Y-MAPK dimers [cytosol]	Complex	9635739	9635739	PTPN7 dephosphorylates p-T,Y-MAPKs	Reaction	POS	AND
5672951	5672951	Inactive RAFs bind YWHAB	Reaction	5672951_5672707_5672961	5672707	inactive RAFs:YWHAB dimer [cytosol]	Complex	POS	AND
5672951_5672707_5672961	5672707	inactive RAFs:YWHAB dimer [cytosol]	Complex	5672961	5672961	PP2A dephosphorylates inactive RAFs	Reaction	POS	AND
5672951	5672951	Inactive RAFs bind YWHAB	Reaction	5672951_5672707_9658445	5672707	inactive RAFs:YWHAB dimer [cytosol]	Complex	POS	AND
5672951_5672707_9658445	5672707	inactive RAFs:YWHAB dimer [cytosol]	Complex	9658445	9658445	MRAS:SHOC2:PPP1CC dephosphorylates inactive RAFs	Reaction	POS	AND
5672950	5672950	"""Activator"" RAF:YWHAB dimer binds RAS:GTP"	Reaction	5672950_5672729_5672966	5672729	p21 RAS:GTP:'activator' RAF:YWHAB dimer [plasma membrane]	Complex	POS	AND
5672950_5672729_5672966	5672729	p21 RAS:GTP:'activator' RAF:YWHAB dimer [plasma membrane]	Complex	5672966	5672966	RAS:GTP:'activator' RAF homo/heterodimerizes with other RAF monomers	Reaction	POS	AND
5672972	5672972	MAP2Ks and MAPKs bind to the activated RAF complex	Reaction	5672972_5672720_5672978	5672720	activated RAF:scaffold:MAP2K:MAPK complex [plasma membrane]	Complex	POS	AND
5672972_5672720_5672978	5672720	activated RAF:scaffold:MAP2K:MAPK complex [plasma membrane]	Complex	5672978	5672978	RAF phosphorylates MAP2K dimer	Reaction	POS	AND
5672972	5672972	MAP2Ks and MAPKs bind to the activated RAF complex	Reaction	5672972_5672720_9657599	5672720	activated RAF:scaffold:MAP2K:MAPK complex [plasma membrane]	Complex	POS	AND
5672972_5672720_9657599	5672720	activated RAF:scaffold:MAP2K:MAPK complex [plasma membrane]	Complex	9657599	9657599	Dual mechanism MAP2K inhibitors bind MAP2Ks	Reaction	POS	AND
5658435	5658435	RAS GAPs bind RAS:GTP	Reaction	5658435_5658227_5658231	5658227	p21 RAS:GTP:RAS GAPs [plasma membrane]	Complex	POS	AND
5658435_5658227_5658231	5658227	p21 RAS:GTP:RAS GAPs [plasma membrane]	Complex	5658231	5658231	RAS GAPs stimulate RAS GTPase activity	Reaction	POS	AND
5672948	5672948	MARK3 phosphorylates KSR1	Reaction	5672948_5672695_5672954	5672695	p-S311,S406 KSR1:MARK3 [cytosol]	Complex	POS	AND
5672948_5672695_5672954	5672695	p-S311,S406 KSR1:MARK3 [cytosol]	Complex	5672954	5672954	p-S311,S406 KSR1:MARK3 binds YWHAB dimer	Reaction	POS	AND
9647999	9647999	RCE1 cleaves S-Farn proRAS proteins	Reaction	9647999_9647959_9647977	9647959	S-Farn-RAS [endoplasmic reticulum membrane]	DefinedSet	POS	AND
9647999_9647959_9647977	9647959	S-Farn-RAS [endoplasmic reticulum membrane]	DefinedSet	9647977	9647977	ICMT methylates S-Farn RAS proteins	Reaction	POS	AND
5672961	5672961	PP2A dephosphorylates inactive RAFs	Reaction	5672961_5672728_5672960	5672728	dephosphorylated inactive RAFS:YWHAB dimer [cytosol]	Complex	POS	AND
5672961_5672728_5672960	5672728	dephosphorylated inactive RAFS:YWHAB dimer [cytosol]	Complex	5672960	5672960	YWHAB dimer dissociates from dephosphorylated RAF	Reaction	POS	AND
9649735	9649735	Intrinsic nucleotide exchange on RAS	Reaction	9649735_109783_9649736	109783	p21 RAS:GTP [plasma membrane]	Complex	POS	AND
9649735_109783_9649736	109783	p21 RAS:GTP [plasma membrane]	Complex	9649736	9649736	RAS intrinsic GTPase activity hydrolyzes GTP to GDP	Reaction	POS	AND
5658438	5658438	SPRED dimer binds NF1	Reaction	5658438_5658232_5658424	5658232	SPRED dimer:NF1 [plasma membrane]	Complex	POS	AND
5658438_5658232_5658424	5658232	SPRED dimer:NF1 [plasma membrane]	Complex	5658424	5658424	KBTBD7:CUL3:RBX1 ubiquitinates NF1	Reaction	POS	AND
5672969	5672969	Phosphorylation of RAF	Reaction	5672969_5672718_5672972	5672718	p21 RAS:GTP:activated RAF homo/heterodimer complexes [plasma membrane]	Complex	POS	AND
5672969_5672718_5672972	5672718	p21 RAS:GTP:activated RAF homo/heterodimer complexes [plasma membrane]	Complex	5672972	5672972	MAP2Ks and MAPKs bind to the activated RAF complex	Reaction	POS	AND
5674385	5674385	p-T,Y MAPKs dimerize	Reaction	5674385_1268261_9635743	1268261	p-T,Y MAPK dimers [cytosol]	DefinedSet	POS	AND
5674385_1268261_9635743	1268261	p-T,Y MAPK dimers [cytosol]	DefinedSet	9635743	9635743	PTPN7 binds p-T,Y-MAPK	Reaction	POS	AND
5672980	5672980	Dissociation of RAS:RAF complex	Reaction	5672980_5672721_5674366	5672721	p-2S MAP2K homo/heterodimers [cytosol]	DefinedSet	POS	AND
5672980_5672721_5674366	5672721	p-2S MAP2K homo/heterodimers [cytosol]	DefinedSet	5674366	5674366	IL17RD binds p-2S MAP2Ks and MAPKs	Reaction	POS	AND
5672980	5672980	Dissociation of RAS:RAF complex	Reaction	5672980_169289_5674385	169289	p-T,Y MAPKs [cytosol]	DefinedSet	POS	AND
5672980_169289_5674385	169289	p-T,Y MAPKs [cytosol]	DefinedSet	5674385	5674385	p-T,Y MAPKs dimerize	Reaction	POS	AND
9654525	9654525	PDE6D binds S-Farn-Me KRAS4B:CALM:4 Ca2+	Reaction	9654525_9654515_9654523	9654515	S-Farn-Me KRAS4B:CALM1:4xCa2+:PDE6D [cytosol]	Complex	POS	AND
9654525_9654515_9654523	9654515	S-Farn-Me KRAS4B:CALM1:4xCa2+:PDE6D [cytosol]	Complex	9654523	9654523	ARL2:GTP bind PDE6D on KRAS4B	Reaction	POS	AND
5672965	5672965	RAS GEFs promote RAS nucleotide exchange	Reaction	5672965_109783_9658253	109783	p21 RAS:GTP [plasma membrane]	Complex	POS	AND
5672965_109783_9658253	109783	p21 RAS:GTP [plasma membrane]	Complex	9658253	9658253	RAS:GTP binds PI3K	Reaction	POS	AND
5672965	5672965	RAS GEFs promote RAS nucleotide exchange	Reaction	5672965_109783_5672950	109783	p21 RAS:GTP [plasma membrane]	Complex	POS	AND
5672965_109783_5672950	109783	p21 RAS:GTP [plasma membrane]	Complex	5672950	5672950	"""Activator"" RAF:YWHAB dimer binds RAS:GTP"	Reaction	POS	AND
5675433	5675433	PP5 dephosphorylates RAF1 S338	Reaction	5675433_5675430_5675431	5675430	p21RAS:GTP:dephosphorylated RAF1 homo/heterodimer [plasma membrane]	Complex	POS	AND
5675433_5675430_5675431	5675430	p21RAS:GTP:dephosphorylated RAF1 homo/heterodimer [plasma membrane]	Complex	5675431	5675431	PP2A dephosphorylates RAF1	Reaction	POS	AND
5672957	5672957	PP2A dephosphorylates KSR1	Reaction	5672957_5672692_5672958	5672692	p-S311 KSR1:MARK3:YWHAB dimer [plasma membrane]	Complex	POS	AND
5672957_5672692_5672958	5672692	p-S311 KSR1:MARK3:YWHAB dimer [plasma membrane]	Complex	5672958	5672958	YWHAB dimer dissociates from KSR1:MARK3	Reaction	POS	AND
9647978	9647978	pro-RAS proteins are farnesylated	Reaction	9647978_9647956_9647999	9647956	S-Farn-proRAS [endoplasmic reticulum membrane]	DefinedSet	POS	AND
9647978_9647956_9647999	9647956	S-Farn-proRAS [endoplasmic reticulum membrane]	DefinedSet	9647999	9647999	RCE1 cleaves S-Farn proRAS proteins	Reaction	POS	AND
8867654	8867654	PTPN3 binds p-T183,Y185 MAPK12	Reaction	8867654_8867651_8867658	8867651	PTPN3:p-T183,Y185-MAPK12 [cytosol]	Complex	POS	AND
8867654_8867651_8867658	8867651	PTPN3:p-T183,Y185-MAPK12 [cytosol]	Complex	8867658	8867658	PTPN3 dephosphorylates MAPK12	Reaction	POS	AND
5672973	5672973	MAP2Ks phosphorylate MAPKs	Reaction	5672973_5672724_9657608	5672724	activated RAF:scaffold:p-2S MAP2K:p-2T MAPK complex [plasma membrane]	Complex	POS	AND
5672973_5672724_9657608	5672724	activated RAF:scaffold:p-2S MAP2K:p-2T MAPK complex [plasma membrane]	Complex	9657608	9657608	Single mechanism MAPK inhibitors bind phosphorylated MAPK	Reaction	POS	AND
5672973	5672973	MAP2Ks phosphorylate MAPKs	Reaction	5672973_5672724_5672980	5672724	activated RAF:scaffold:p-2S MAP2K:p-2T MAPK complex [plasma membrane]	Complex	POS	AND
5672973_5672724_5672980	5672724	activated RAF:scaffold:p-2S MAP2K:p-2T MAPK complex [plasma membrane]	Complex	5672980	5672980	Dissociation of RAS:RAF complex	Reaction	POS	AND
9649733	9649733	mature p21 RAS binds GDP	Reaction	9649733_109796_9649735	109796	p21 RAS:GDP [plasma membrane]	Complex	POS	AND
9649733_109796_9649735	109796	p21 RAS:GDP [plasma membrane]	Complex	9649735	9649735	Intrinsic nucleotide exchange on RAS	Reaction	POS	AND
5672966	5672966	RAS:GTP:'activator' RAF homo/heterodimerizes with other RAF monomers	Reaction	5672966_5672733_9653108	5672733	p21 RAS:GTP:homo/heterodimerized RAF complex [plasma membrane]	Complex	POS	AND
5672966_5672733_9653108	5672733	p21 RAS:GTP:homo/heterodimerized RAF complex [plasma membrane]	Complex	9653108	9653108	Raf dimer inhibitors bind RAF heterodimers	Reaction	POS	AND
5672966	5672966	RAS:GTP:'activator' RAF homo/heterodimerizes with other RAF monomers	Reaction	5672966_5672733_5672969	5672733	p21 RAS:GTP:homo/heterodimerized RAF complex [plasma membrane]	Complex	POS	AND
5672966_5672733_5672969	5672733	p21 RAS:GTP:homo/heterodimerized RAF complex [plasma membrane]	Complex	5672969	5672969	Phosphorylation of RAF	Reaction	POS	AND
9649736	9649736	RAS intrinsic GTPase activity hydrolyzes GTP to GDP	Reaction	9649736_109796_9649735	109796	p21 RAS:GDP [plasma membrane]	Complex	POS	AND
9649736_109796_9649735	109796	p21 RAS:GDP [plasma membrane]	Complex	9649735	9649735	Intrinsic nucleotide exchange on RAS	Reaction	POS	AND
5672705	5672705	p-2S MAP2K1:p-2S MAPK2K2 heterodimer [cytosol]	Complex	5674496	5674496	Activated MAPKs phosphorylate MAP2K1	Reaction	POS	AND
9657570	9657570	dual mechanism MAPK inhibitors [cytosol]	CandidateSet	9657603	9657603	Dual mechanism MAPK inhibitors bind MAPKs	Reaction	POS	AND
109796	109796	p21 RAS:GDP [plasma membrane]	Complex	5672965	5672965	RAS GEFs promote RAS nucleotide exchange	Reaction	POS	AND
5672731_5672966	5672731	"dephosphorylated ""receiver"" RAF/KSR1 [cytosol]"	DefinedSet	5672966	5672966	RAS:GTP:'activator' RAF homo/heterodimerizes with other RAF monomers	Reaction	POS	AND
9657574	9657574	single mechanism MAP2K1/2 inhibitors [cytosol]	CandidateSet	9657606	9657606	Single mechanism MAP2K inhibitors bind phosphorylated MAP2Ks	Reaction	POS	AND
9647780	9647780	PolyUb-RCE1 [endoplasmic reticulum membrane]	EntityWithAccessionedSequence	9653514	9653514	USP17L2 deubiquitinates RCE1	Reaction	POS	AND
9657577	9657577	single mechanism MAPK inhibitors [cytosol]	CandidateSet	9657608	9657608	Single mechanism MAPK inhibitors bind phosphorylated MAPK	Reaction	POS	AND
169291	169291	MAPKs [cytosol]	DefinedSet	5672972	5672972	MAP2Ks and MAPKs bind to the activated RAF complex	Reaction	POS	AND
5672716	5672716	MAP2K homo/heterodimers [cytosol]	DefinedSet	5672972	5672972	MAP2Ks and MAPKs bind to the activated RAF complex	Reaction	POS	AND
5672717	5672717	RAF/MAPK scaffolds [cytosol]	CandidateSet	5672972	5672972	MAP2Ks and MAPKs bind to the activated RAF complex	Reaction	POS	AND
9660479	9660479	RAL GDS proteins [cytosol]	DefinedSet	9660557	9660557	RAS:GTP binds RAL GDS proteins	Reaction	POS	AND
9660551	9660551	S-Farn-Me-2xPalmS HRAS:GTP [plasma membrane]	Complex	9660557	9660557	RAS:GTP binds RAL GDS proteins	Reaction	POS	AND
74693	74693	PI3K [cytosol]	Complex	9658253	9658253	RAS:GTP binds PI3K	Reaction	POS	AND
9647934	9647934	Palmostatin B [cytosol]	Drug	9647991	9647991	Palmostatin B binds RAS depalmitoylases	Reaction	POS	AND
9647946	9647946	LYPLA1 dimer, ABHD17A,B,C [plasma membrane]	DefinedSet	9647991	9647991	Palmostatin B binds RAS depalmitoylases	Reaction	POS	AND
5674136	5674136	activated RAF homo/heterodimer [cytosol]	Complex	5674132	5674132	WDR83:LAMTOR2:LAMTOR3 binds MAPK components	Reaction	POS	AND
5672716	5672716	MAP2K homo/heterodimers [cytosol]	DefinedSet	5674132	5674132	WDR83:LAMTOR2:LAMTOR3 binds MAPK components	Reaction	POS	AND
