parent_id	parent_reactome_id	parent_name	parent_type	child_id	child_reactome_id	child_name	child_type	polarity	type
5685953	5685953	SIRT6 deacetylates RBBP8	Reaction	5685953_5684097_5684081	5684097	RBBP8 homotetramer [nucleoplasm]	Complex	POS	AND
5685953_5684097_5684081	5684097	RBBP8 homotetramer [nucleoplasm]	Complex	5684081	5684081	MRN complex binds CDK2 and RBBP8	Reaction	POS	AND
5693593	5693593	D-loop extension by DNA polymerases	Reaction	5693593_5686104_5686440	5686104	Extended D-Loop:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:p-BRCA1-C complex:PALB2:p-T3387-BRCA2:SEM1:p-T309-RAD51:RAD51AP1:CX3 complex [nucleoplasm]	Complex	POS	AND
5693593_5686104_5686440	5686104	Extended D-Loop:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:p-BRCA1-C complex:PALB2:p-T3387-BRCA2:SEM1:p-T309-RAD51:RAD51AP1:CX3 complex [nucleoplasm]	Complex	5686440	5686440	MUS81:EME1,EME2 cleaves D-loop	Reaction	POS	AND
5693593	5693593	D-loop extension by DNA polymerases	Reaction	5693593_5686104_5693589	5686104	Extended D-Loop:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:p-BRCA1-C complex:PALB2:p-T3387-BRCA2:SEM1:p-T309-RAD51:RAD51AP1:CX3 complex [nucleoplasm]	Complex	POS	AND
5693593_5686104_5693589	5686104	Extended D-Loop:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:p-BRCA1-C complex:PALB2:p-T3387-BRCA2:SEM1:p-T309-RAD51:RAD51AP1:CX3 complex [nucleoplasm]	Complex	5693589	5693589	D-loop dissociation and strand annealing	Reaction	POS	AND
5684071	5684071	RNF4 ubiquitinates MDC1	Reaction	5684071_5682162_5684081	5682162	DNA DSB:p-MRN:p-S1981,Ac-K3016-ATM:KAT5 [nucleoplasm]	Complex	POS	AND
5684071_5682162_5684081	5682162	DNA DSB:p-MRN:p-S1981,Ac-K3016-ATM:KAT5 [nucleoplasm]	Complex	5684081	5684081	MRN complex binds CDK2 and RBBP8	Reaction	POS	AND
5684071	5684071	RNF4 ubiquitinates MDC1	Reaction	5684071_9707299_5684108	9707299	p-5S-BRCA1:p-2T-BARD1 [nucleoplasm]	DefinedSet	POS	AND
5684071_9707299_5684108	9707299	p-5S-BRCA1:p-2T-BARD1 [nucleoplasm]	DefinedSet	5684108	5684108	BRCA1 binds phosphorylated RBBP8	Reaction	POS	AND
5686587	5686587	ABL1 phosphorylates RAD52	Reaction	5686587_5686589_5693580	5686589	p-Y104-RAD52 heptamer [nucleoplasm]	Complex	POS	AND
5686587_5686589_5693580	5686589	p-Y104-RAD52 heptamer [nucleoplasm]	Complex	5693580	5693580	Association of RAD52 with the RPA complex at resected DNA DSBs	Reaction	POS	AND
5684081	5684081	MRN complex binds CDK2 and RBBP8	Reaction	5684081_5684094_5684096	5684094	DNA DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:CCNA:p-T160-CDK2:RBBP8 [nucleoplasm]	Complex	POS	AND
5684081_5684094_5684096	5684094	DNA DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:CCNA:p-T160-CDK2:RBBP8 [nucleoplasm]	Complex	5684096	5684096	CDK2 phosphorylates RBBP8	Reaction	POS	AND
5685341	5685341	BCDX2 complex stabilizes RAD51 filament	Reaction	5685341_5685343_5693620	5685343	3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:p-T309-RAD51:p-T3387-BRCA2:SEM1:BCDX2 complex [nucleoplasm]	Complex	POS	AND
5685341_5685343_5693620	5685343	3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:p-T309-RAD51:p-T3387-BRCA2:SEM1:BCDX2 complex [nucleoplasm]	Complex	5693620	5693620	D-loop formation mediated by PALB2, BRCA2 and RAD51	Reaction	POS	AND
5684096	5684096	CDK2 phosphorylates RBBP8	Reaction	5684096_5684095_5684140	5684095	DNA DSBs:p-MRN:p-S327,T847-RBBP8:p-S1981,Ac-K3016-ATM:KAT5 [nucleoplasm]	Complex	POS	AND
5684096_5684095_5684140	5684095	DNA DSBs:p-MRN:p-S327,T847-RBBP8:p-S1981,Ac-K3016-ATM:KAT5 [nucleoplasm]	Complex	5684140	5684140	ATM phosphorylates RBBP8	Reaction	POS	AND
5686430	5686430	MUS81 binds EME1, EME2	Reaction	5686430_8933487_5686475	8933487	MUS81:EME1, (MUS81:EME2) [nucleoplasm]	CandidateSet	POS	AND
5686430_8933487_5686475	8933487	MUS81:EME1, (MUS81:EME2) [nucleoplasm]	CandidateSet	5686475	5686475	SLX1A:SLX4 binds MUS81:EME1,(MUS81:EME2)	Reaction	POS	AND
5684108	5684108	BRCA1 binds phosphorylated RBBP8	Reaction	5684108_5684107_5693608	5684107	DNA DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:p-BRCA1-C complex [nucleoplasm]	Complex	POS	AND
5684108_5684107_5693608	5684107	DNA DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:p-BRCA1-C complex [nucleoplasm]	Complex	5693608	5693608	Initial resection of double-strand break ends	Reaction	POS	AND
5685994	5685994	Long-range resection of DNA DSBs by EXO1 or DNA2	Reaction	5685994_5684128_5693542	5684128	3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1 [nucleoplasm]	Complex	POS	AND
5685994_5684128_5693542	5684128	3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1 [nucleoplasm]	Complex	5693542	5693542	Association of RPA complexes with ssDNA at resected DNA DSBs	Reaction	POS	AND
5685319	5685319	CX3 complex formation	Reaction	5685319_5685311_5685838	5685311	CX3 complex [nucleoplasm]	Complex	POS	AND
5685319_5685311_5685838	5685311	CX3 complex [nucleoplasm]	Complex	5685838	5685838	CX3 complex binds D-loop structures	Reaction	POS	AND
5684882	5684882	CHEK1 is recruited to resected DNA DSBs	Reaction	5684882_5684883_5684887	5684883	ATR:ATRIP:p-RPA:3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:RAD17:RFC:RAD9:HUS1:RAD1:RHNO1:TOPBP1:TIMELESS:TIPIN:p-T916,S945-CLSPN:CHEK1 [nucleoplasm]	Complex	POS	AND
5684882_5684883_5684887	5684883	ATR:ATRIP:p-RPA:3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:RAD17:RFC:RAD9:HUS1:RAD1:RHNO1:TOPBP1:TIMELESS:TIPIN:p-T916,S945-CLSPN:CHEK1 [nucleoplasm]	Complex	5684887	5684887	Activation of CHEK1 at resected DNA DSBs	Reaction	POS	AND
75998	75998	Formation of RAD52 heptameric ring structure complexes	Reaction	75998_83899_5686587	83899	RAD52 heptamer [nucleoplasm]	Complex	POS	AND
75998_83899_5686587	83899	RAD52 heptamer [nucleoplasm]	Complex	5686587	5686587	ABL1 phosphorylates RAD52	Reaction	POS	AND
5685011	5685011	ATR activation at DNA DSBs	Reaction	5685011_5685039_5685156	5685039	ATR:ATRIP:RPA:3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:RAD17:RFC:RAD9:HUS1:RAD1:RHNO1:TOPBP1 [nucleoplasm]	Complex	POS	AND
5685011_5685039_5685156	5685039	ATR:ATRIP:RPA:3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:RAD17:RFC:RAD9:HUS1:RAD1:RHNO1:TOPBP1 [nucleoplasm]	Complex	5685156	5685156	ATR phosphorylates RPA2	Reaction	POS	AND
5687758	5687758	PPP4C:PPP4R2 dephosphorylates RPA2	Reaction	5687758_68462_5693542	68462	RPA heterotrimer [nucleoplasm]	Complex	POS	AND
5687758_68462_5693542	68462	RPA heterotrimer [nucleoplasm]	Complex	5693542	5693542	Association of RPA complexes with ssDNA at resected DNA DSBs	Reaction	POS	AND
5684875	5684875	Binding of ATR:ATRIP to RPA at resected DNA DSBs	Reaction	5684875_5684874_5685011	5684874	ATR:ATRIP:RPA:3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1 [nucleoplasm]	Complex	POS	AND
5684875_5684874_5685011	5684874	ATR:ATRIP:RPA:3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1 [nucleoplasm]	Complex	5685011	5685011	ATR activation at DNA DSBs	Reaction	POS	AND
5693561	5693561	RAD51 binds BRCA2 at resected DNA DSBs	Reaction	5693561_5685169_5687758	5685169	p-RPA heterotrimer [nucleoplasm]	Complex	POS	AND
5693561_5685169_5687758	5685169	p-RPA heterotrimer [nucleoplasm]	Complex	5687758	5687758	PPP4C:PPP4R2 dephosphorylates RPA2	Reaction	POS	AND
5693561	5693561	RAD51 binds BRCA2 at resected DNA DSBs	Reaction	5693561_5685317_5685341	5685317	3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:p-T309-RAD51:p-T3387-BRCA2:SEM1 [nucleoplasm]	Complex	POS	AND
